###|Informação não fornecida (###)
zxx|Sem material linguístico (zxx)
gmh|German, Middle High (ca. 1050-1500) (gmh)
goh|German, Old High (ca. 750-1050) (goh)
gon|Gondi (gon)
gor|Gorontalo (gor)
got|Gothic (got)
grb|Grebo (grb)
grc|Grego, Ancient (to 1453) (grc)
gre|Grego, Moderno (1453-) (gre)
grn|Guarani (grn)
gsw|Swiss German (gsw)
guj|Gujarati (guj)
gwi|Gwich'in (gwi)
hai|Haida (hai)
hat|Haitian French Creole (hat)
hau|Hausa (hau)
haw|Hawaiian (haw)
heb|Hebraico (heb)
her|Herero (her)
hil|Hiligaynon (hil)
him|Western Pahari languages (him)
hin|Hindi (hin)
hit|Hittite (hit)
hmn|Hmong (hmn)
hmo|Hiri Motu (hmo)
hrv|Croatian (hrv)
hsb|Upper Sorbian (hsb)
hun|Hungarian (hun)
hup|Hupa (hup)
iba|Iban (iba)
ibo|Igbo (ibo)
ice|Icelandic (ice)
ido|Ido (ido)
iii|Sichuan Yi (iii)
ijo|Ijo (ijo)
iku|Inuktitut (iku)
ile|Interlingue (ile)
ilo|Iloko (ilo)
ina|Interlingua (International Auxiliary Language Association) (ina)
inc|Indic (e outros) (inc)
ind|Indonesian (ind)
ine|Indo-European (e outros) (ine)
inh|Ingush (inh)
ipk|Inupiaq (ipk)
ira|Iranian (e outros) (ira)
iro|Iroquoian (e outros) (iro)
ita|Italiano (ita)
jav|Javanese (jav)
jbo|Lojban (Artificial language) (jbo)
jpn|Japonês (jpn)
jpr|Judeo-Persian (jpr)
jrb|Judeo-Arabic (jrb)
kaa|Kara-Kalpak (kaa)
kab|Kabyle (kab)
kac|Kachin (kac)
kal|Kalâtdlisut (kal)
kam|Kamba (kam)
kan|Kannada (kan)
kar|Karen languages (kar)
kas|Kashmiri (kas)
kau|Kanuri (kau)
kaw|Kawi (kaw)
kaz|Kazakh (kaz)
kbd|Kabardian (kbd)
kha|Khasi (kha)
khi|Khoisan (e outros) (khi)
khm|Khmer (khm)
kho|Khotanese (kho)
kik|Kikuyu (kik)
kin|Kinyarwanda (kin)
kir|Kyrgyz (kir)
kmb|Kimbundu (kmb)
kok|Konkani (kok)
kom|Komi (kom)
kon|Kongo (kon)
kor|Korean (kor)
kos|Kusaie (kos)
kpe|Kpelle (kpe)
krc|Karachay-Balkar (krc)
krl|Karelian (krl)
kro|Kru (e outros) (kro)
kru|Kurukh (kru)
kua|Kuanyama (kua)
kum|Kumyk (kum)
kur|Kurdish (kur)
kut|Kootenai (kut)
lad|Ladino (lad)
lah|Lahnd? (lah)
lam|Lamba (Zambia and Congo) (lam)
lao|Lao (lao)
lat|Latim (lat)
lav|Latvian (lav)
lez|Lezgian (lez)
lim|Limburgish (lim)
lin|Lingala (lin)
lit|Lithuanian (lit)
lol|Mongo-Nkundu (lol)
loz|Lozi (loz)
ltz|Luxembourgish (ltz)
lua|Luba-Lulua (lua)
lub|Luba-Katanga (lub)
lug|Ganda (lug)
lui|Luiseño (lui)
lun|Lunda (lun)
luo|Luo (Kenya and Tanzania) (luo)
lus|Lushai (lus)
mac|Macedonian (mac)
mad|Madurese (mad)
mag|Magahi (mag)
mah|Marshallese (mah)
mai|Maithili (mai)
mak|Makasar (mak)
mal|Malayalam (mal)
man|Mandingo (man)
mao|Maori (mao)
map|Austronesian (e outros) (map)
mar|Marathi (mar)
mas|Masai (mas)
may|Malay (may)
mdf|Moksha (mdf)
mdr|Mandar (mdr)
men|Mende (men)
mga|Irish, Middle (ca. 1100-1550) (mga)
mic|Micmac (mic)
min|Minangkabau (min)
mis|Miscellaneous languages (mis)
mkh|Mon-Khmer (e outros) (mkh)
mlg|Malagasy (mlg)
mlt|Maltese (mlt)
mnc|Manchu (mnc)
mni|Manipuri (mni)
mno|Manobo languages (mno)
moh|Mohawk (moh)
mon|Mongolian (mon)
mos|Mooré (mos)
mul|Múltiplas línguas (mul)
mun|Munda (e outros) (mun)
mus|Creek (mus)
mwl|Mirandese (mwl)
mwr|Marwari (mwr)
myn|Mayan languages (myn)
myv|Erzya (myv)
nah|Nahuatl (nah)
nai|North American Indian (e outros) (nai)
nap|Neapolitan Italian (nap)
nau|Nauru (nau)
nav|Navajo (nav)
nbl|Ndebele (South Africa) (nbl)
nde|Ndebele (Zimbabwe) (nde)
ndo|Ndonga (ndo)
nds|Low German (nds)
nep|Nepali (nep)
new|Newari (new)
nia|Nias (nia)
nic|Niger-Kordofanian (e outros) (nic)
niu|Niuean (niu)
nno|Norwegian (Nynorsk) (nno)
nob|Norwegian (Bokmål) (nob)
nog|Nogai (nog)
non|Old Norse (non)
nor|Norwegian (nor)
nqo|N'Ko (nqo)
nso|Northern Sotho (nso)
nub|Nubian languages (nub)
nwc|Newari, Old (nwc)
nya|Nyanja (nya)
nym|Nyamwezi (nym)
nyn|Nyankole (nyn)
nyo|Nyoro (nyo)
nzi|Nzima (nzi)
oci|Occitan (post 1500) (oci)
oji|Ojibwa (oji)
ori|Oriya (ori)
orm|Oromo (orm)
osa|Osage (osa)
oss|Ossetic (oss)
ota|Turkish, Ottoman (ota)
oto|Otomian languages (oto)
paa|Papuan (e outros) (paa)
pag|Pangasinan (pag)
pal|Pahlavi (pal)
pam|Pampanga (pam)
pan|Panjabi (pan)
pap|Papiamento (pap)
pau|Palauan (pau)
peo|Old Persian (ca. 600-400 B.C.) (peo)
per|Persian (per)
phi|Philippine (e outros) (phi)
phn|Phoenician (phn)
pli|Pali (pli)
pol|Polish (pol)
pon|Ponape (pon)
por|Português (por)
pra|Prakrit languages (pra)
pro|Provençal (to 1500) (pro)
pus|Pushto (pus)
que|Quechua (que)
raj|Rajasthani (raj)
rap|Rapanui (rap)
rar|Rarotongan (rar)
roa|Romance (e outros) (roa)
roh|Raeto-Romance (roh)
rom|Romani (rom)
rum|Romanian (rum)
run|Rundi (run)
rup|Aromanian (rup)
rus|Russo (rus)
sad|Sandawe (sad)
sag|Sango (Ubangi Creole) (sag)
sah|Yakut (sah)
sai|South American Indian (e outros) (sai)
sal|Salishan languages (sal)
sam|Samaritan Aramaic (sam)
san|Sanskrit (san)
sas|Sasak (sas)
sat|Santali (sat)
scn|Sicilian Italian (scn)
sco|Scots (sco)
sel|Selkup (sel)
sem|Semitic (e outros) (sem)
sga|Irish, Old (to 1100) (sga)
sgn|Sign languages (sgn)
shn|Shan (shn)
sid|Sidamo (sid)
sin|Sinhalese (sin)
sio|Siouan (e outros) (sio)
sit|Sino-Tibetan (e outros) (sit)
sla|Slavic (e outros) (sla)
slo|Slovak (slo)
slv|Slovenian (slv)
sma|Southern Sami (sma)
sme|Northern Sami (sme)
smi|Sami (smi)
smj|Lule Sami (smj)
smn|Inari Sami (smn)
smo|Samoan (smo)
sms|Skolt Sami (sms)
sna|Shona (sna)
snd|Sindhi (snd)
snk|Soninke (snk)
sog|Sogdian (sog)
som|Somali (som)
son|Songhai (son)
sot|Sotho (sot)
spa|Espanhol (spa)
srd|Sardinian (srd)
srn|Sranan (srn)
srp|Serbian (srp)
srr|Serer (srr)
ssa|Nilo-Saharan (e outros) (ssa)
ssw|Swazi (ssw)
suk|Sukuma (suk)
sun|Sundanese (sun)
sus|Susu (sus)
sux|Sumerian (sux)
swa|Swahili (swa)
swe|Swedish (swe)
syc|Syriac (syc)
syr|Syriac, Modern (syr)
tah|Tahitian (tah)
tai|Tai (e outros) (tai)
tam|Tamil (tam)
tat|Tatar (tat)
tel|Telugu (tel)
tem|Temne (tem)
ter|Terena (ter)
tet|Tetum (tet)
tgk|Tajik (tgk)
tgl|Tagalog (tgl)
tha|Thai (tha)
tib|Tibetan (tib)
tig|Tigré (tig)
tir|Tigrinya (tir)
tiv|Tiv (tiv)
tkl|Tokelauan (tkl)
tlh|Klingon (Artificial language) (tlh)
tli|Tlingit (tli)
tmh|Tamashek (tmh)
tog|Tonga (Nyasa) (tog)
ton|Tongan (ton)
tpi|Tok Pisin (tpi)
tsi|Tsimshian (tsi)
tsn|Tswana (tsn)
tso|Tsonga (tso)
tuk|Turkmen (tuk)
tum|Tumbuka (tum)
tup|Tupi languages (tup)
tur|Turkish (tur)
tut|Altaic (e outros) (tut)
tvl|Tuvaluan (tvl)
twi|Twi (twi)
tyv|Tuvinian (tyv)
udm|Udmurt (udm)
uga|Ugaritic (uga)
uig|Uighur (uig)
ukr|Ukrainian (ukr)
umb|Umbundu (umb)
und|Undetermined (und)
urd|Urdu (urd)
uzb|Uzbek (uzb)
vai|Vai (vai)
ven|Venda (ven)
vie|Vietnamese (vie)
vol|Volapük (vol)
vot|Votic (vot)
wak|Wakashan languages (wak)
wal|Wolayta (wal)
war|Waray (war)
was|Washo (was)
wel|Welsh (wel)
wen|Sorbian (e outros) (wen)
wln|Walloon (wln)
wol|Wolof (wol)
xal|Oirat (xal)
xho|Xhosa (xho)
yao|Yao (Africa) (yao)
yap|Yapese (yap)
yid|Yiddish (yid)
yor|Iorubá (yor)
ypk|Yupik languages (ypk)
zap|Zapotec (zap)
zbl|Blissymbolics (zbl)
zen|Zenaga (zen)
zha|Zhuang (zha)
znd|Zande languages (znd)
zul|Zulu (zul)
zun|Zuni (zun)
zxx|Nenhum conteúdo linguístico (zxx)
zza|Zaza (zza)
