abk|Abkhaz
mar|Marathi
chm|Mari
mah|Marshallese
mwr|Marwari
mas|Masai
myn|Mayan languages
men|Mende
mic|Micmac
min|Minangkabau
mis|Miscellaneous languages
moh|Mohawk
mol|Moldavian
mon|Mongolian
lol|Mongo-Nkundu
mkh|Mon-Khmer (Other)
mos|Moor£
mul|Multiple languages
mun|Munda (Other)
nah|Nahuatl
nau|Nauru
nav|Navajo
nbl|Ndebele (South Africa)
nde|Ndebele (Zimbabwe)
ndo|Ndonga
nep|Nepali
new|Newari
nia|Nias
nic|Niger-Kordofanian, Bafut, Kagoro, Ligbi, Noon (Other)
ssa|Nilo-Saharan (Other)
niu|Niuean
nai|North American Indian (Other)
sme|Northern Sami
nso|Northern Sotho
nor|Norwegian
nub|Nubian languages,Midob
nym|Nyamwezi
nya|Nyanja
nyn|Nyankole
nyo|Nyoro
nzi|Nzima
oci|Occitan (post-1500)
oji|Ojibwa
non|Old Norse
peo|Old Persian (ca. 600-400 B.C.)
ori|Oriya
orm|Oromo
osa|Osage
oss|Ossetic
oto|Otomian languages
pal|Pahlavi
pau|Palauan
pli|Pali
pam|Pampanga
pag|Pangasinan
pan|Panjabi
pap|Papiamento
paa|Papuan (Other)
per|Persian
phi|Philippine (Other)
phn|Phoenician
pol|Polish
pon|Ponape
por|Portuguese
pra|Prakrit languages
pro|Provenáal (to 1500)
pus|Pushto
que|Quechua
roh|Raeto-Romance
raj|Rajasthani
rap|Rapanui
rar|Rarotongan
roa|Romance (Other)
rum|Romanian
rom|Romany
run|Rundi
rus|Russian
sal|Salishan languages
sam|Samaritan Aramaic
smi|Sami
smo|Samoan
sad|Sandawe
sag|Sango (Ubangi Creole)
san|Sanskrit
sat|Santali
srd|Sardinian
sas|Sasak
sco|Scots
gla|Scottish Gaelic
sel|Selkup
sem|Semitic, Mahri (Other)
scc|Serbian
srr|Serer
shn|Shan
sna|Shona
sid|Sidamo
sgn|Sign languages
bla|Siksika
snd|Sindhi
sin|Sinhalese
sit|Sino-Tibetan (Other)
sio|Siouan (Other)
den|Slave
sla|Slavic (Other)
slo|Slovak
slv|Slovenian
sog|Sogdian
som|Somali
son|Songhai
snk|Soninke
wen|Sorbian languages
sot|Sotho
sai|South American Indian, Cauqui, Wayampi (Other)
spa|Spanish
suk|Sukuma
sux|Sumerian
sun|Sundanese
sus|Susu
swa|Swahili
ssw|Swazi
swe|Swedish
syr|Syriac
tgl|Tagalog
tah|Tahitian
tai|Tai (Other)
tgk|Tajik
tmh|Tamashek
tam|Tamil
tat|Tatar
tel|Telugu
tem|Temne
ter|Terena
tet|Tetum
tha|Thai
tib|Tibetan
tig|TigrÇ
tir|Tigrinya
tiv|Tiv
tli|Tlingit
tpi|Tok Pisin
tkl|Tokelauan
tog|Tonga (Nyasa)
ton|Tongan
chk|Truk
tsi|Tsimshian
tso|Tsonga
tsn|Tswana
tum|Tumbuka
tur|Turkish
ota|Turkish, Ottoman
tuk|Turkmen
tvl|Tuvaluan
tyv|Tuvinian
twi|Twi
uga|Ugaritic
uig|Uighur
ukr|Ukrainian
umb|Umbundu
und|Undetermined
urd|Urdu
uzb|Uzbek
vai|Vai
ven|Venda
vie|Vietnamese
vol|VolapÅk
vot|Votic
wak|Wakashan languages
wal|Walamo
war|Waray
was|Washo
wel|Welsh
wol|Wolof
xho|Xhosa
sah|Yakut
yao|Yao (Africa)
yap|Yapese
yid|Yiddish
yor|Yoruba
ypk|Yupik, Sirinek languages
znd|Zande
zap|Zapotec
zen|Zenaga
zha|Zhuang
zul|Zulu
zun|Zuni
