aar|Afar
nep|Nepali
new|Newari
nia|Nias
nic|Niger-Kordofanian, Bafut, Kagoro, Ligbi, Noon (Other)
niu|Niuean
non|Old Norse
nor|Norwegian
nso|Northern Sotho
nub|Nubian languages,Midob
nya|Nyanja
nym|Nyamwezi
nyn|Nyankole
nyo|Nyoro
nzi|Nzima
oci|Occitan (post-1500)
oji|Ojibwa
ori|Oriya
orm|Oromo
osa|Osage
oss|Ossetic
ota|Turkish, Ottoman
oto|Otomian languages
paa|Papuan (Other)
pag|Pangasinan
pal|Pahlavi
pam|Pampanga
pan|Panjabi
pap|Papiamento
pau|Palauan
peo|Old Persian (ca. 600-400 B.C.)
per|Persian
phi|Philippine (Other)
phn|Phoenician
pli|Pali
pol|Polish
pon|Ponape
por|Portuguese
pra|Prakrit languages
pro|Provençal (to 1500)
pus|Pushto
que|Quechua
raj|Rajasthani
rap|Rapanui
rar|Rarotongan
roa|Romance (Other)
roh|Raeto-Romance
rom|Caló (Romani)
rom|Romany
rum|Romanian
run|Rundi
rus|Russian
sad|Sandawe
sag|Sango (Ubangi Creole)
sah|Yakut
sai|South American Indian, Cauqui, Wayampi (Other)
sal|Salishan languages
sam|Samaritan Aramaic
san|Sanskrit
sas|Sasak
sat|Santali
scc|Serbian
sco|Scots
scr|Croatian
sel|Selkup
sem|Gurage languages
sem|Semitic, Mahri (Other)
sga|Irish, Old (to 1100)
sgn|Sign languages
shn|Shan
sid|Sidamo
sin|Sinhalese
sio|Siouan (Other)
sit|Sino-Tibetan (Other)
sla|Slavic (Other)
slo|Slovak
slv|Slovenian
sme|Northern Sami
smi|Sami
smo|Samoan
sna|Shona
snd|Sindhi
snk|Soninke
sog|Sogdian
som|Somali
son|Songhai
sot|Sotho
spa|Spanish
srd|Sardinian
srr|Serer
ssa|Nilo-Saharan (Other)
ssw|Swazi
suk|Sukuma
sun|Sundanese
sus|Susu
sux|Sumerian
swa|Swahili
swe|Swedish
syr|Syriac
tah|Tahitian
tai|Tai (Other)
tam|Tamil
tat|Tatar
tel|Telugu
tem|Temne
ter|Terena
tet|Tetum
tgk|Tajik
tgl|Tagalog
tha|Thai
tib|Tibetan
tig|Tigré
tir|Tigrinya
tiv|Tiv
tkl|Tokelauan
tli|Tlingit
tmh|Tamashek
tog|Tonga (Nyasa)
ton|Tongan
tpi|Tok Pisin
tsi|Tsimshian
tsn|Tswana
tso|Tsonga
tuk|Turkmen
tum|Tumbuka
tur|Turkish
tut|Altaic (Other)
tvl|Tuvaluan
twi|Twi
tyv|Tuvinian
uga|Ugaritic
uig|Uighur
ukr|Ukrainian
umb|Umbundu
und|Undetermined
urd|Urdu
uzb|Uzbek
vai|Vai
ven|Venda
vie|Vietnamese
vol|Volapük
vot|Votic
wak|Wakashan languages
wal|Walamo
war|Waray
was|Washo
wel|Welsh
wen|Sorbian languages
wol|Wolof
xho|Xhosa
yao|Yao (Africa)
yap|Yapese
yid|Yiddish
yor|Yoruba
ypk|Yupik, Sirinek languages
zap|Zapotec
zen|Zenaga
zha|Zhuang
znd|Zande
zul|Zulu
zun|Zuni
