cou|A Corte se regeu 
prm|Impressora 
pop|Impressora de placas 
ins|Inscriber 
ins|Inscriber 
his|Instituição anfitriã 
dgg|Instituição que concede o diploma 
itr|Instrumentalista 
inv|Inventor 
jud|Juiz 
jug|Jurisdição governada 
lbr|Laboratório 
auc|Leiloeiro 
wdc|Lenhador 
lil|Libelant 
lit|Libelant-appellant 
lie|Libelant-appellee 
lel|Libelee 
let|Libelee-appellant 
lee|Libelee-appellee 
lbt|Librettist 
lse|Licenciado 
lso|Licenciador 
lyr|Lírico 
ltg|Litógrafa 
bsl|Livraria 
dbp|Local de distribuição 
pad|Local de endereço 
mfp|Local de fabricação 
prp|Local de produção 
pup|Local de publicação 
evp|Local do evento 
uvp|Lugar universitário 
cnd|Maestro 
mrb|Marbler 
ppt|Marionetista 
med|Médio 
rtm|Membro da equipe de pesquisa 
dgc|Membro do comitê de graduação 
mte|Metal-engraver 
mtk|Minutos 
mod|Moderador 
mon|Monitor 
mus|Músico 
nrt|Narrador 
asn|Nome associado 
att|Nome atribuído 
opn|Oponente 
spk|Orador 
stn|Organismo de normalização 
isb|Organismo emissor 
orm|Organizador 
org|Originador 
oth|Outros 
pan|Painelista 
rpy|Parte responsável 
spn|Patrocinador 
pat|Patrono 
res|Pesquisador 
prd|Pessoal de produção 
pte|Plaintiff-appellee 
pra|Praeses 
fpy|Primeira parte 
pro|Produtor 
plt|Produtor de chapas 
fmp|Produtor de filmes 
bkp|Produtor de livros 
rpc|Produtor de rádio 
tlp|Produtor de televisão 
tch|Professor 
prg|Programador 
prs|Projetista de produção 
lgd|Projetor de iluminação 
own|Proprietário 
cpl|Reclamante 
cpt|Reclamante-apelente 
cpe|Reclamante-apellee 
rcd|Recordista 
apl|Recorrente 
ptt|Recorrente da petição 
ctt|Recorrente do concurso 
red|Redaktor 
cor|Registro de coleta 
ren|Renderizador 
rpt|Repórter 
crt|Repórter do tribunal 
rps|Repositório 
app|Requerente 
pta|Requerente da patente 
cpc|Requerente dos direitos autorais 
rse|Respondent-appellee 
rsp|Respondente 
rst|Respondente-atacante 
rsg|Restager 
rsr|Restaurador 
pfr|Revisor 
rev|Revisor 
cas|Rodízio 
aus|Roteirista 
rbr|Rubricador 
sec|Secretário 
spy|Segunda festa 
dgs|Supervisor de graduação 
wit|Testemunha 
tyg|Tipógrafo 
pth|Titular da patente 
srv|Topógrafa 
trl|Tradutora 
trc|Transcriber 
sll|Vendedor 
vdg|Videógrafo 
