###|Sem informações fornecidas
zxx|Não há conteúdo lingüístico
mis|Idiomas diversos
moh|Mohawk
mol|Moldava
mon|Mongol
lol|Mongo-Nkundu
mkh|Mon-Khmer (Outros)
mos|Mouro
mul|Múltiplos idiomas
mun|Munda (Outros)
nah|Nahuatl
nau|Nauru
nav|Navajo
nbl|Ndebele (África do Sul)
nde|Ndebele (Zimbábue)
ndo|Ndonga
nep|Nepalês
new|Newari
nia|Nias
nic|Niger-Kordofanian, Bafut, Kagoro, Ligbi, Meio-dia (Outros)
ssa|Nilo-Sahariana (Outros)
niu|Niuean
nai|Índio norte-americano (Outros)
sme|Sami do Norte
nso|Sotho do Norte
nor|Norueguês
nub|Idiomas núbios,Midob
nym|Nyamwezi
nya|Nyanja
nyn|Nyankole
nyo|Nyoro
nzi|Nzima
oci|Occitânico (pós-1500)
oji|Ojibwa
non|Velho Nórdico
peo|Velho Persa (ca. 600-400 a.C.)
ori|Oriya
orm|Oromo
osa|Osagem
oss|Ossetic
oto|Idiomas otomianos
pal|Pahlavi
pau|Palauan
pli|Pali
pam|Pampanga
pag|Pangasinan
pan|Panjabi
pap|Papiamento
paa|Papuan (Outros)
per|Persa
phi|Filipino (Outros)
phn|Fenício
pol|Polonês
pon|Ponape
por|Português
pra|Idiomas Prakrit
pro|Provenial (até 1500)
pus|Pushto
que|Quechua
roh|Raeto-Romance
raj|Rajasthani
rap|Rapanui
rar|Rarotongan
roa|Romance (Outros)
rum|Romeno
rom|Romany
run|Rundi
rus|Russo
sal|Idiomas salishan
sam|Samaritano Aramaico
smi|Sami
smo|Samoan
sad|Sandawe
sag|Sango (Ubangi Creole)
san|Sânscrito
sat|Santali
srd|Sardo
sas|Sasak
sco|Escoceses
gla|gaélico escocês
sel|Selkup
sem|Semitic, Mahri (Outros)
scc|Sérvio
srr|Serer
shn|Shan
sna|Shona
sid|Sidamo
sgn|Idiomas dos sinais
bla|Siksika
snd|Sindhi
sin|Sinhalês
sit|Sino-Tibetano (Outros)
sio|Siouan (Outros)
den|Escravo
sla|Eslavo (Outros)
slo|Eslovaco
slv|Esloveno
sog|Sogdian
som|Somali
son|Songhai
snk|Soninke
wen|Idiomas sorábicos
sot|Sotho
sai|Índio sul-americano, Cauqui, Wayampi (Outros)
spa|Espanhol
suk|Sukuma
sux|Sumério
sun|Sundanese
sus|Susu
swa|Swahili
ssw|Swazi
swe|Sueco
syr|Syriac
tgl|Tagalog
tah|Taitiano
tai|Tai (Outros)
tgk|Tajik
tmh|Tamashek
tam|Tâmil
tat|Tatar
tel|Telugu
tem|Temne
ter|Terena
tet|Tetum
tha|Tailandês
tib|Tibetano
tig|Tigr'.
tir|Tigrinya
tiv|Tiv
tli|Tlingit
tpi|Tok Pisin
tkl|Tokelauan
tog|Tonga (Nyasa)
ton|Tongan
chk|Truk
tsi|Tsimshian
tso|Tsonga
tsn|Tswana
tum|Tumbuka
tur|Turco
ota|Turco, otomano
tuk|Turcomenos
tvl|Tuvaluan
tyv|Tuviniano
twi|Twi
uga|Ugaritic
uig|Uighur
ukr|Ucraniano
umb|Umbundu
und|Indeterminado
urd|Urdu
uzb|Uzbeque
vai|Vai
ven|Venda
vie|Vietnamita
vol|Volapk
vot|Votic
wak|Idiomas wakashan
wal|Walamo
war|Waray
was|Washo
wel|Galês
wol|Wolof
xho|Xhosa
sah|Yakut
yao|Yao (África)
yap|Yapese
yid|Yiddish
yor|Iorubá
ypk|Yupik, idiomas Sirinek
znd|Zande
zap|Zapotec
zen|Zenaga
zha|Zhuang
zul|Zulu
zun|Zuni
