aar|Afar
peo|Persa antiguo (ca. 600-400 B.C.)
per|Persa moderno
phi|Filipino (Otro)
phn|Fenicio
pli|Pali
pol|Polaco
pon|Ponape
por|Portugués
pra|Prácrito
pro|Provenzal antiguo (hasta 1500)
pus|Pushto, pashto
que|Quechua
raj|Rajasthani
rap|Rapanui
rar|Rarotongan
roa|Romance (Otro)
roh|Reto romance, romanche
rom|Caló (Romaní)
rom|Romaní
rum|Rumano
run|Rundi, kirundi
rus|Ruso
sad|Sandawe
sag|Sango (Ubangi criollo)
sah|Yakut
sai|Indígenas de América del Sur, Cauqui, Wayampi (Otro)
sal|Lenguas salishan
sam|Arameo samaritano
san|Sánscrito
sas|Sasak
sat|Santali
scc|Serbio
sco|Escocés
scr|Croata
sel|Selkup
sem|Lengua gurage
sem|Semítico, Mahri (Otro)
sga|Irish antiguo (hasta 1100)
sgn|Lenguaje de señas o signos
shn|Shan
sid|Sidamo
sin|Singalés
sio|Siouan (Otro)
sit|Sino tibetano (Otro)
sla|Eslavo (Otro)
slo|Eslovaco
slv|Esloveno
sme|Sami del Norte
smi|Sami
smo|Samoano
sna|Shona
snd|Sindhi
snk|Soninké
sog|Sogdian
som|Somalí
son|Songhai
sot|Soto
spa|Español
srd|Sardo
srr|Serer
ssa|Nilo sahariano (Otros)
ssw|Swazi
suk|Sukuma
sun|Sudanés
sus|Susu
sux|Sumerio
swa|Suahili
swe|Sueco
syr|Sirio
tah|Tahitiano
tai|Siamés (Otros)
tam|Tamil
tat|Tatar
tel|Telugu
tem|Temne
ter|Terena
tet|Tetun
tgk|Tajik
tgl|Tagalo
tha|Thai
tib|Tibetano
tig|Tigré
tir|Tigriña
tiv|Tiv
tkl|Tokelauan
tli|Tlingit
tmh|Tamashek
tog|Tonganés (Nyasa)
ton|Tonganés
tpi|Tok Pisin
tsi|Tsimshiano
tsn|Tswanano
tso|Tsonganés
tuk|Turcomano
tum|Tumbuka
tur|Turco
tut|Turco tártaro, altaico (Otros)
tvl|Tuvaluan
twi|Twi
tyv|Tuviniano
uga|Ugarítico
uig|Uigur
ukr|Ucraniano
umb|Umbunduano
und|Indeterminado
urd|Urdu
uzb|Uzbeco
vai|Vai
ven|Venda
vie|Vietnamita
vol|Volapuk
vot|Votic
wak|Lenguas Wakashan
wal|Walamo
war|Waray
was|Washo
wel|Welsh
wen|Sorbio, sorabo, lusaciano 
wol|Wolof
xho|Xhosa
yao|Yao (Africa)
yap|Yapese
yid|Yiddish
yor|Yoruba
ypk|Lenguas yupik
zap|Zapoteco
zen|Zenaga
zha|Zhuang
znd|Zande
zul|Zulú
zun|Zuni
