632|Directeur artistique
|Directeur de choeur ==> EMPLOYER : Chef de choeur (195)
|Directeur de collection ==> EMPLOYER : Directeur de publication (651)
|Directeur de la photographie ==> EMPLOYER : Photographe (600)
651|Directeur de publication
595|Directeur de la recherche
727|Directeur de thèse
310|Distributeur
|Doctorant ==> EMPLOYER : Candidat (305)
320|Donateur
|Éclairagiste ==> EMPLOYER : Membre de l’équipe de production (633)
650|Éditeur commercial
|Éditeur intellectuel == > EMPLOYER : Éditeur scientifique (340)
340|Éditeur scientifique
|Effets sonores, créateur des ==> EMPLOYER : Membre de l’équipe de production (633)
|Effets spéciaux, créateur des == >  EMPLOYER : Membre de l’équipe de production (633)
430|Enlumineur
|Ensemblier ==> EMPLOYER : Directeur artistique (632)
|Envoi, auteur de l’ ==> EMPLOYER : Auteur de l’envoi (450)
|Équipe de recherche, membre de la ==> EMPLOYER : Membre de l’équipe de recherche (677)
|Équipe de recherche, responsable de la ==> EMPLOYER : Responsable de l’équipe de recherche (673)
|Ex-libris, concepteur de l’ ==> EMPLOYER : Concepteur de l’ex-libris (150)
755|Exécutant vocal
365|Expert
580|Fabricant du papier
380|Faussaire
000|Fonction indéterminée
395|Fondateur
637|Gestionnaire de projet
350|Graveur
|Graveur de musique == > EMPLOYER : Graveur (350)
|Graveur en lettres == > EMPLOYER : Graveur (350)
760|Graveur sur bois
530|Graveur sur métal
|Harmonisateur == > EMPLOYER : Arrangeur (030)
|Hommage, auteur de l’ ==> EMPLOYER : Auteur de l’envoi (450)
207|Humoriste
440|Illustrateur
|Imprimatur ==> EMPLOYER : Concédant de licence (500)
620|Imprimeur de gravures
610|Imprimeur
|Infographiste ==> EMPLOYER : Technicien graphique (410) et/ou Illustrateur (440)
670|Ingénieur du son
560|Instigateur
590|Interprète
|Interviewé ==> EMPLOYER : Personne interviewée (470)
470|Intervieweur
584|Inventeur de brevet
|Investigateur principal ==> EMPLOYER : Instigateur (560)
|Investigateur ==> EMPLOYER : Instigateur (560)
|Jaquette, concepteur de la ==> EMPLOYER : Concepteur de la jaquette (140)
|Jaquette, concepteur de la ==> EMPLOYER : Concepteur de la jaquette (140)
|Lettres, destinataire de ==> EMPLOYER : Destinataire de lettres (660)
|Lettres, graveur en ==> EMPLOYER : Graveur (350)
160|Libraire
480|Librettiste
|Licence, concédant de ==> EMPLOYER : Concédant de licence (500)
|Licence, détenteur de ==> EMPLOYER : Détenteur de licence (490)
510|Lithographe
|Lyriciste == > EMPLOYER : Parolier (520)
|Lyrics, auteur des == > EMPLOYER : Parolier (520)
|Maquette, concepteur de la == > EMPLOYER : Maquettiste (130)
120|Maquettiste de la reliure
130|Maquettiste
|Maquilleur == > EMPLOYER Membre de l’équipe de production (633)
655|Marionnettiste
|Marqueur de rubriques ==> EMPLOYER : Rubricateur (680)
|Masques, concepteur des ==> EMPLOYER : Membre de l’équipe de production (633)
|Matériel d’accompagnement, auteur du ==> EMPLOYER : Auteur du matériel d’accompagnement (770)
633|Membre de l’équipe de production
677|Membre de l’équipe de recherche
|Métal, graveur sur ==> EMPLOYER : Graveur sur métal (530)
|Metteur en scène ==> EMPLOYER : Metteur en scène ou réalisateur (300)
300|Metteur en scène ou réalisateur
535|Mime
540|Moniteur
370|Monteur
545|Musicien
|Musique, graveur de ==> EMPLOYER : Graveur (350)
550|Narrateur
060|Nom associé
555|Opposant
|Orchestrateur ==> EMPLOYER : Arrangeur (030)
|Orchestre, chef d’ ==> EMPLOYER : Chef d’orchestre (250)
557|Organisateur de réunion
725|Organisme de normalisation
295|Organisme de soutenance
520|Parolier
723|Parraineur
|Participant ==> EMPLOYER : Personne interviewée (460)
420|Personne honorée
460|Personne interviewée
600|Photographe
|Photographie, directeur de la ==> EMPLOYER : Photographe (600)
|Planches, imprimeur de ==> EMPLOYER : Imprimeur de planches (620)
080|Préfacier, etc.
|Preneur de son ==> EMPLOYER : Ingénieur du son (670)
605|Présentateur
630|Producteur
635|Programmeur
|Projet, gestionnaire de == > EMPLOYER : Gestionnaire de projet (637)
|Publication, directeur de == > EMPLOYER : Directeur de publication (651)
|Rapporteur == > EMPLOYER : Secrétaire (710)
|Réalisateur == > EMPLOYER : Metteur en scène ou réalisateur (300)
|Réalisation de la basse continue == W EMPLOYER : Arrangeur (030)
|Recension, auteur de la == >|EMPLOYER : Critique (675)
|Rédacteur en chef == > EMPLOYER : Directeur de publication (651)
|Rédacteur == > EMPLOYER : Secrétaire (710)
|Réduction musicale, auteur de la == > EMPLOYER : Arrangeur (030)
|Régisseur == >EMPLOYER : Directeur artistique (632)
110|Relieur
|Reliure, maquettiste de la == > EMPLOYER : Maquettiste de la reliure (120)
673|Responsable de l’équipe de recherche
|Responsable du montage cinématographique ou vidéo ==> EMPLOYER : Monteur (370)
675|Responsable du compte-rendu critique
|Réunion, organisateur de == >EMPLOYER : Organisateur de réunion (557)
680|Rubricateur
690|Scénariste
|Scribe == >EMPLOYER : Copiste (700)
|Scripte ==> EMPLOYER : Membre de l’équipe de production (633)
705|Sculpteur
710|Secrétaire
720|Signataire
|Slogan, créateur de == > EMPLOYER : Concepteur (245)
|Son, ingénieur du == > EMPLOYER : Ingénieur du son (670)
|Son, preneur de == > EMPLOYER : Ingénieur du son (670)
|Sponsor == > EMPLOYER : Parraineur (723)
410|Technicien graphique
|Thésard ==> EMPLOYER : Candidat (305)
|Thèse, directeur de == > EMPLOYER : Directeur de thèse (727)
|Tireur de photographies == > EMPLOYER Technicien graphique (410)
587|Titulaire de brevet
730|Traducteur
750|Typographe
753|Vendeur
