###|(Aucune indication fournie) 
aar|afar
egy|égyptien
eka|ekajuk
elx|élamite
eng|anglais
enm|anglais, moyen (1100-1500)
epo|espéranto
[esk]|eskimo
[esp]|espéranto
est|estonien
[eth]|éthiopien
ewe|éwé
ewo|ewondo
fan|fang
fao|féroïen
[far]|féroïen
fat|fanti
fij|fidjien
fil|filipino
fin|finnois
fiu|finno-ougriennes, autres langues
fon|fon
fre|français
[fri]|frison
frm|français, moyen (ca. 1400-1600)
fro|français, ancien (ca. 842-1400)
frr|frison septentrional
frs|frison oriental
fry|frison
ful|peul
fur|frioulan
gaa|ga
[gae]|gaélique (écossais)
[gag]|galicien
[gal]|oromo
gay|gayo
gba|gbaya
gem|germaniques, autres langues
geo|géorgien
ger|allemand
gez|guèze
gil|kiribati
gla|gaélique
gle|irlandais
glg|galicien
glv|manx
gmh|allemand, moyen haut (ca. 1050-1500)
goh|allemand, vieux haut (ca. 750-1050)
gon|gond
gor|gorontalo
got|gothique
grb|grebo
grc|grec ancien (jusqu'à 1453)
gre|grec moderne (1453- )
grn|guarani
gsw|alémanique
[gua]|guarani
guj|goudjrati
gwi|gwich'in
hai|haida
hat|créole haîtien
hau|haoussa
haw|hawaïen
heb|hébreu
her|herero
hil|hiligaynon
him|himachali
hin|hindi
hit|hittite
hmn|hmong
hmo|hiri motu
hsb|haut-sorabe
hun|hongrois
hup|hupa
iba|iban
ibo|igbo
ice|islandais
ido|ido
iii|yi de sichuan
ijo|ijo
iku|inuktitut
ile|interlingue
ilo|ilocano
ina|interlingua
inc|indo-aryennes, autres langues
ind|indonésien
ine|indo-européennes, autres langues
inh|ingush
[int]|interlangue (International Auxiliary Language Association)
ipk|inupiaq
ira|iraniennes, autres langues
[iri]|irlandais
iro|iroquoises, langues
ita|italien
jav|javanais
jbo|lojban (langue artificielle)
jpn|japonais
jpr|judéo-persan
jrb|judéo-arabe
kaa|karakalpak
kab|kabyle
kac|kachin
kal|kalâtdlisut
kam|kamba
kan|kannada
kar|karen
kas|kashmiri
kau|kanouri
kaw|kawi
kaz|kazakh
kbd|kabarde
kha|khasi
khi|khoi-san, autres langues
khm|khmer
kho|khotanais
kik|kikuyu
kin|rwanda
kir|kirghize
kmb|kimbundu
kok|konkani
kom|komi
kon|koongo
kor|coréen
kos|kosrae
kpe|kpellé
krc|karatchaï-balkar
krl|carélien
kro|krou
kru|kouroukh
kua|kuanyama
kum|koumyk
kur|kurde
[kus]|kousaie
kut|kootenaienne
lad|judéo-espagnol
lah|lahnda
lam|lamba (Zambie et Congo)
[lan]|languedocien (après 1500)
lao|lao
[lap]|lapon
lat|latin
lav|letton
lez|lezghien
lim|limbourgeois
lin|liNgala
lit|lituanien
lol|mongo
loz|lozi
ltz|luxembourgeois
lua|luba-lulua
lub|louba-katanga
lug|ganda
lui|luiseno
lun|lunda
luo|luo (Kenya et Tanzanie)
lus|lushai
mac|macédonien
mad|madourais
mag|magahi
mah|marshall
mai|maithili
mak|makassar
mal|malayalam
man|mandingue
mao|maori
map|malayo-polynésiennes, autres langues
mar|marathe
mas|massaÏ
[max]|manx
may|malais
mdf|moksa
mdr|mandar
men|mendé
mga|irlandais moyen (900-1200)
mic|micmac
min|minangkabau
mis|diverses, langues (autres)
mkh|môn-khmère, langue (autre)
[mla]|malgache
mlg|malgache
mlt|maltais
mnc|mandchou
mni|manipuri
mno|manobo, langues
moh|mohawk
mol|moldave
mon|mongol
mos|moré
mul|multilingue
mun|mounda, langues
mus|muskogee
mwl|mirandais
mwr|marvari
myn|mayas, langues
myv|erza
nah|nahautl
nai|indiennes d'Amérique du Nord, autres langues
nap|napolitain
nau|nauruan
nav|navaho
nbl|ndébéle du Sud
nde|ndébélé du Nord
ndo|ndonga
nds|bas allemand
nep|népalais
new|newari
nia|nias
nic|nigéro-congolaises, autres langues
niu|niué
nno|norvégien nynorsk
nob|norvégien bokmål
nog|nogai
non|norrois, vieux
nor|norvégien
nqo|n'ko
nso|sotho du Nord
nub|nubiennes, langues
nwc|newari ancienne
nya|chichewa
nym|nyamwezi
nyn|nyankolé
nyo|nyoro
nzi|nzema
oci|occitan (après 1500)
oji|ojibwa
ori|oriya
orm|oromo
osa|osage
oss|ossète
ota|turc ottoman (1500-1928)
oto|langues otomangues
paa|papoues, autres langues
pag|pangasinan
pal|pahlavi
pam|pamganga
pan|pendjabi
pap|papiamento
pau|palau
peo|perse, vieux (ca 600-400 av. J.-C.)
per|persan
phi|philippines, langues (autres)
phn|phénicien
pli|pali
pol|polonais
pon|pohnpei
por|portugais
pra|prâkrit
pro|provençal, vieux (avant 1500)
pus|puchto
que|quechua
raj|rajasthani
rap|rapanui
rar|rarotonga
roa|romanes, autres langues
roh|rhéto-romane
rom|tsigane
rum|roumain
run|rundi
rus|russe
sad|sandawe
sag|sango
sah|iakoute
sai|indiennes d'Amérique du Sud, autres langues
sal|salish, langues
sam|samaritain
san|sanskrit
[sao]|samoan
sas|sasak
sat|santal
scc|serbe
scn|sicilien
sco|écossais
scr|croate
sel|selkoupe
sem|sémitiques, autres langues
sga|irlandais ancien (jusqu'à 900)
sgn|langage par signes
shn|chan
[sho]|shona
sid|sidamo
sin|singhalais
sio|sioux, langues
sit|sino-tibétaine, autres langues
sla|slaves, autres langues
slo|slovaque
slv|slovène
sma|sami du Sud
sme|sami du Nord
smi|sami, autres langues
smj|sami de Lule
smn|sami d'Inari
smo|samoan
sms|sami skolt
sna|shona
snd|sindhi
[snh]|singhalais
snk|soninké
sog|sogdien
som|somali
son|songhai
sot|sotho du Sud
spa|espagnol
srd|sarde
srn|sranan
srr|sérère
ssa|nilo-sahariennes, autres langues
[sso]|sotho
ssw|swati
suk|sukuma
sun|soudanais
sus|soussou
sux|sumérien
swa|swahili
swe|suédois
[swz]|swazi
syr|syriaque
[tag]|tagalog
tah|tahitien
tai|thaïes, langues (autres)
[taj]|tadjik
tam|tamoul
[tar]|tatar
tat|tatar
tel|télougou
tem|temne
ter|tereno
tet|tetum
tgk|tadjik
tgl|tagalog
tha|thaï
tib|tibétain
tig|tigré
tir|tigrigna
tiv|tiv
tkl|tokelau
tlh|klingon (langue artificielle)
tli|tlingit
tmh|tamacheq
tog|tonga (Nyasa)
ton|tonga (îles Tonga)
tpi|tok pisin
[tru]|truk
tsi|tsimshian
tsn|tswanatso tsonga
tso|tsonga
tsw|tswana
tuk|türkmène
tum|tumbuka
tup|tupi, langues
tur|turc
tut|altaïque, langue (autre)
tvl|tuvalu
twi|twi
tyv|touva
udm|oudmourte
uga|ougaritique
uig|ouïgour
ukr|ukrainien
umb|uMbundu
und|indéterminé
urd|ourdou
uzb|ouzbek
vai|vaï
ven|venda
vie|vietnamien
vol|volapük
vot|vote
wak|wakashennes, langues
wal|walamo
war|waray
was|washo
wel|gallois
wen|sorabes, langues
wln|wallon
wol|wolof
xal|kalmouk
xho|xhosa
yao|yao
yap|yapois
yid|yiddish
yor|yoruba
ypk|yupik, langues
zap|zapotèque
zen|zenaga
zha|zhuang
znd|zandé
zul|zoulou
zun|zuni
zxx|aucun contenu linguistique
zza|zaza
